id,label,size,degree,centrality,x,y
congreso-publico,Congreso Público,1,1,0,23.22123873593635,12.459163976940008
iuristech-solutions,Iuristech Solutions,0,0,0,37.38641847284034,34.664004927920494
socialtic,Socialtic,24,24,126,21.479978041420157,4.985913196852675
w3,W3,4,3,0,35.413923989699946,4.182784013269705
plan-b-para-el-desarrollo-ac,"Plan B Para El Desarrollo, Ac",1,1,0,21.659133043873716,20.345357835192736
rede-conhecimento-social,Rede Conhecimento Social,7,7,6,8.463264644043054,28.739898643635023
escuela-politecnica-nacional,Escuela Politécnica Nacional,3,3,0,38.44683079837149,6.40302307200455
ilda,ILDA,0,0,0,37.180871969854564,31.235301173356387
carla-barbedo-zorzanelli,Carla Barbedo Zorzanelli,0,0,0,29.879982642903474,32.890788358170845
the-engine-room,The Engine Room,5,3,2,8.19788352780951,33.064508154812536
genero-e-numero,Gênero E Número,0,0,0,39.853002752172365,40.5156775836832
fundacion-consuma-conciencia,Fundación Consuma Conciencia,0,0,0,49.29486886389966,34.25499399137581
panapana-informacao-e-educacao-ltda-me,Panapana Informacao E Educacao Ltda ­ Me,1,1,0,29.419460344922815,14.67052409717966
fundacion-gestores-sociales,Fundación Gestores Sociales,0,0,0,24.239056043713585,27.659194042159193
factico-periodismo-movil,Fáctico Periodismo Móvil,0,0,0,30.57290320148972,39.61123459848818
la-nacion-cr,La Nación,1,1,0,35.863255584262085,17.60998657933039
unostres,Unostres,0,0,0,30.688779677314113,25.361866425363264
instituto-nacional-de-la-economia-social,Instituto Nacional De La Economía Social,0,0,0,18.244145551732263,42.72450188703948
gobierno-facil,Gobierno Fácil,0,0,0,37.48571096105179,44.288544102549864
verto-technology-corp,Verto Technology Corp,0,0,0,33.20545257105975,44.76941783614229
fundacion-gobierno-abierto,Fundacion Gobierno Abierto,22,22,0,21.432496302346667,3.7177153900635993
silice,Silice,1,1,0,14.01955838729475,35.98273433520893
que-hacen-el-parlamento-en-tu-movil,Que Hacen?: El Parlamento En Tu Movil,0,0,0,41.370341904292296,40.168551766382805
aparabolica,Aparabólica,2,2,0,8.535800780201285,14.834872200335978
thot-group,Thot Group,0,0,0,34.630442250392875,29.98698678552351
fundacion-huesped,Fundación Huésped,0,0,0,45.60298010896489,34.63383190991938
de-olhos-nas-metas,De Olho nas Metas,0,0,0,32.043274301566356,34.45022945565502
grupo-de-investigacion-de-sistemas-basados-en-el-conocimiento-knowledge-based-systems-research-group-kbs-rg-de-la-universidad-tecnica-particular-de-loja,Grupo de Investigación de Sistemas Basados en el Conocimiento (Knowledge-based Systems Research Group - KBS-RG) de la Universidad Técnica Particular de Loja,1,1,0,17.500910899287337,18.00246216482946
let-s-chat,Let\'S Chat,0,0,0,34.77035574063213,43.441978563034255
municipalidad-de-concepcion-del-uruguay-direccion-de-control-del-gasto,"Municipalidad De Concepción Del Uruguay, Dirección De Control Del Gasto",3,3,0,16.80801811711977,20.758849385162573
movimiento-nacional-por-la-integridad,Movimiento Nacional Por La Integridad,0,0,0,18.675705720035538,35.90536672773809
observatorio-de-favelas-do-rio-de-janeiro,Observatório De Favelas Do Rio De Janeiro,1,1,0,24.13290944249392,14.70121972470925
gobierno-de-costa-rica,Gobierno De Costa Rica,0,0,0,45.92603423740566,19.5609939104864
manejo-inteligente-de-residuos-y-gestion-ambiental-minga,Manejo Inteligente De Residuos Y Gestión Ambiental Minga,0,0,0,44.63039800144604,26.41858460610567
cnpi-centro-nacional-de-informatica,Cnpi - Centro Nacional De Informatica,0,0,0,24.647575819517357,41.138172984667406
digital-network-srl,Digital Network Srl,1,1,0,32.56820062822635,17.07695711317528
cultura-y-educacion-para-el-desarrollo-y-la-autonomia-en-mexico,Cultura Y Educación Para El Desarrollo Y La Autonomía En México,4,2,0.5,10.340146943614508,37.64399494959827
phronesis-pesquisa-e-consultoria-em-ciencias-sociais-ltd,Phronesis Pesquisa E Consultoria Em Ciencias Sociais Ltd,0,0,0,49.92214788568184,24.333677691433582
inppares-instituto-peruano-de-paternidad-responsables,Inppares - Instituto Peruano De Paternidad Responsables,0,0,0,47.62638817969643,14.176017827941918
wingu,Wingu,11,9,915.9666666666666,17.785720165329202,8.528981803364152
facultad-de-ingeneria-universidad-de-los-andes,Facultad De Ingenería Universidad De Los Andes,2,2,0,15.260738938591139,14.336071722346833
secretaria-de-planificacion,Secretaría De Planificación,2,2,0,18.91430528716447,26.09889959026944
llactalab-ciudades-sustentables,Llactalab - Ciudades Sustentables,1,1,0,23.936030663104418,18.855616830274062
asociacion-intermunicipal-del-valle-de-jiboa-mijiboa,Asociación Intermunicipal Del Valle De Jiboa Mijiboa,1,1,0,18.576545720706033,16.606021417543317
congreso-transparente,Congreso Transparente,0,0,0,31.336022331601352,36.508867831171145
atlas-smart-cities,Atlas Smart Cities,0,0,0,34.84734753130072,36.00850585978348
fundacion-proyecto-propio,Fundación Proyecto Propio,0,0,0,21.0368086824264,46.181916923075974
alcalde-como-vamos,"Alcalde, Como Vamos?",22,22,0,20.866902904296175,3.7803936564066354
open-knowledge-ecuador,Open Knowledge Ecuador,0,0,0,30.06972835899927,46.103228042690766
regional,Regional,0,0,0,25.143133988589604,45.67427014330325
ong-para-iberoamerica,Ong Para Iberoamerica,0,0,0,15.991388987703402,40.898290887894454
appcivico-eokoe-solucoes-tecnologicas,AppCivico - EOKOE SOLUÇÕES TECNOLÓGICAS LTDA,49,18,94,6.588427978984444,22.646543224873433
avisora,Avisora,0,0,0,20.29141550764814,39.665181369542005
guayi,Guayí,0,0,0,42.57065480184855,35.223787772968684
explico-s-a-ludiverse-inc,"Explico, S.A. / Ludiverse Inc.",1,1,0,13.765708833382103,19.59852488916444
fundar-centro-de-analisis-e-investigacion,"Fundar, Centro De Análisis E Investigación",0,0,0,47.87641472873776,26.247864615819815
ministerio-de-economia-de-peru,Ministerio de Economía del Perú,0,0,0,43.37307921226157,40.43551100496324
ruta-civica,Ruta Cívica,6,2,0,30.608507325815495,7.056430715660085
asociacion-civil-guatecambia,Asociación Civil Guatecambia,0,0,0,33.18012152332165,27.719072506430155
folha-de-sao-paulo,Folha,0,0,0,40.776895619978674,42.22309192813696
creapption,Creapption,3,3,2,11.152994877492457,12.752844176974891
creative-commons,Creative Commons,22,22,0,21.909278565774546,3.7584248293269753
asociacion-centro-ciudadano-de-estudios-para-una-sociedad-abierta-accesa,Asociación Centro Ciudadano De Estudios Para Una Sociedad Abierta -Accesa,0,0,0,39.498013095050425,26.228790486380536
politize,Politize,1,1,0,21.360018062583855,22.296618688965328
centro-de-midias-civicas-do-mit-media-lab,Centro De Mídias Cívicas Do Mit Media Lab,6,6,0,7.54942173864299,28.507365173513705
sumando-esfuerzos,Sumando Esfuerzos,0,0,0,44.722451434717904,39.3481154774846
instituto-midia-etnica,Instituto Mídia Étnica,0,0,0,43.30219167930282,10.343694783363567
red-consejo-ciudadano-a-la-contraloria-a-c,Red Consejo Ciudadano A La Contraloria A.C.,0,0,0,19.314927619332202,41.695649282396786
democracia-en-red,Democracia En Red,1,1,0,19.35182051521766,10.693078953075627
okfn-el-salvador,Okfn El Salvador,0,0,0,44.185667508392655,30.965148678189337
tu-voto-cuenta,Tu Voto Cuenta,0,0,0,45.93042018724724,14.536717585687217
contexto,Contexto,0,0,0,43.47643342873419,23.42718138827613
cooperativa-girasol-de-cosumo-solidario,Cooperativa Girasol De Cosumo Solidário,0,0,0,48.58819546205793,35.50182259585665
fundacion-buena-nota,Fundación Buena Nota,2,1,0,45.658071480387306,11.448245970595837
jo-venes-contra-la-violencia,Jóvenes Contra la Violencia,5,4,0,11.495532091112578,26.38579812629838
agencia-ecologista-de-informacion-tegantai,Agencia Ecologista De Información Tegantai,0,0,0,25.160363375717996,29.91706406932516
artigo-19-brasil,Artigo 19 Brasil,0,0,0,23.794212129012305,33.580749973924
cleteci-s-a,Cleteci S.A,1,1,0,21.74059576569884,25.661265616306373
vetor-brasil,Vetor Brasil,0,0,0,36.93245081437694,42.3697758419823
project-poder,PODER,30,26,245.00000000000003,22.55202588905878,3.6859364097401754
colab,Colab,0,0,0,41.6789065877357,16.693426455065318
fundacion-centro-latinoamericano-de-derechos-humanos,Fundación Centro Latinoamericano de Derechos Humanos,2,2,0,11.285858342078738,12.056309958265615
abrepuertorico,Abrepuertorico,0,0,0,48.44391391003299,29.121601471957913
poder-ciudadano,Poder Ciudadano,3,3,8.100000000000001,19.2227910584429,8.584852898367593
la-publica,La pública,0,0,0,44.30125321642319,28.09995237706355
chicas-poderosas,Chicas Poderosas,22,22,0,20.623935210850597,3.905811929484324
central-america-software-services,Central America Software Services,0,0,0,45.905544324778376,36.71154033137919
colombia-check,Colombia Check,0,0,0,45.73299601385073,32.13177400598462
instituto-del-desarrollo-de-la-juventud,Instituto Del Desarrollo De La Juventud,0,0,0,28.958472578057314,43.05756623527824
observatorio-de-comunicacion-pucv,Observatorio De Comunicación Pucv,1,1,0,15.48535564893746,18.059059898709137
tribunal-permanente-de-los-pueblos,Tribunal Permanente De Los Pueblos,0,0,0,25.54432681878812,39.92082158953432
areta-valente-guimarães-mei,Areta Valente Guimarães Mei,1,1,0,30.32160107848325,14.663180086340873
centro-para-programas-de-comunicacion-nicaragua-cpcnic,Centro Para Programas De Comunicación Nicaragua (Cpcnic),1,1,0,37.709049250511995,16.068996765985876
instituto-são-paulo-sustentavel,Instituto São Paulo Sustentável,42,11,0,5.838295062920254,22.623402960025913
impacto-norte-srl,Impacto Norte Srl,0,0,0,46.50334625612497,30.81711631990254
comunideas-sas,Comunideas Sas,0,0,0,37.171356006894875,18.569836345815684
fundacion-karisma,Fundación Karisma,2,2,0,41.386160410442265,6.140347300251293
gobierno-de-colombia,Gobierno De Colombia,0,0,0,23.161983884232438,31.13736897354983
consejo-civico-de-vecinos,Consejo Civico De Vecinos,0,0,0,27.800937018186936,44.285068374847185
mindball-ong-planeta,Mindball Ong Planeta,0,0,0,39.10685037630367,45.08451675141966
instituto-ecoar-para-a-cidadania,Instituto Ecoar Para A Cidadania,3,3,0,11.125025060415691,23.249658242650664
voter-desenvolvimento-de-software-ltda,Voter Desenvolvimento De Software Ltda,0,0,0,46.08676703904807,21.441733287980746
fundacion-capital-los-empleados-mencionados-hacen-referencia-a-toda-la-organizacion-regional-que-esta-conformada-por-varias-sucursales-una-de-ellas-es-mexico-y-es-en-mexico-donde-estamos-proponiendo-realizar-mopa-por-el-momento,"Fundación Capital - Los Empleados Mencionados Hacen Referencia A Toda La Organización Regional Que Esta Conformada Por Varias Sucursales. Una De Ellas Es México, Y Es En México Donde Estamos Proponiendo Realizar Mopa Por El Momento.",1,1,0,34.030377457463096,11.426935963866418
associated-whistleblowing-press,Associated Whistleblowing Press,12,4,0,24.19804877661158,3.454124842638913
nucleo-de-estudos-em-inteligencia-gestão-e-tecnologias-para-inovacão-igti,"Núcleo De Estudos Em Inteligência, Gestão E Tecnologias Para Inovação (Igti)",4,4,0,11.687212058903798,14.642015275138757
update,Update,2,2,0,9.072182289358494,15.457671141561946
agencia-metropolitana-de-seguridad-laboratorio-de-politicas-publicas,"Agencia Metropolitana De Seguridad, Laboratorio De Políticas Públicas",6,2,0,10.779982622117004,38.27453549237065
